沉缅往事 沉湎往事
沓无音信 杳无音信
沤心沥血 呕心沥血
沦肌夹髓 沦肌浃髓
沧茫大海 苍茫大海
治丝益纷 治丝益棼
治逾疾病 治愈疾病
沽恶不悛 怙恶不悛
沾污清白 玷污清白
沾辱 玷辱
沿木求鱼 缘木求鱼
泊来品 舶来品
洁白无暇 洁白无瑕
洗耳躬听 洗耳恭听
洪篇巨制 鸿篇巨制
洽如其分 恰如其分
流览一遍 浏览一遍
流览报纸 浏览报纸
流言非语 流言飞语,流言蜚语
浅尝则止 浅尝辄止
测隐之心 恻隐之心
浑浑恶恶 浑浑噩噩
浑玉朴金 浑玉璞金
浓装艳抹 浓妆艳抹
浪废金钱 浪费金钱
浮光略影 浮光掠影
浮想连翩 浮想联翩
浸人心脾 沁人心脾
涂毒生灵 荼毒生灵
消声匿迹 销声匿迹
消遥法外 消逍法外
涌跃报名 踊跃报名
涣然一新 焕然一新
淄铢必较 锱铢必较
淋漓尽至 淋漓尽致
淌水过去 蹚水过去
淌水过河 趟水过河
深为婉惜 深为惋惜
深受蒙敝 深受蒙蔽
深明大意 深明大义
深符众望 深孚众望
混为一团 混为一谈
混身是胆 浑身是胆
淹没不闻 湮没不闻
淹没无闻 湮没无闻
清彻见底 清澈见底
清沏见底 清澈见底
渊远流长 源远流长
渝期作废 逾期作废
渡假村 度假村
渲泄 宣泄
游日聘怀 游日骋怀
湎怀先烈 缅怀先烈
滔光养晦 韬光养晦
满山遍野 漫山遍野
满脸绉纹 满脸皱纹
满腹经伦 满腹经纶
滥芋充数 滥竽充数
演译归纳 演绎归纳
演译推理 演绎推理
漫条斯理 慢条斯理
潜然泪下 潸然泪下
濯发难数 擢发难数
火中取粟 火中取栗
火山暴发 火山爆发
灸手可热 炙手可热
灿然一笑 粲然一笑
炉火成青 炉火纯青
烁石流金 铄石流金
烂竽充数 滥竽充数
烩炙人口 脍炙人口
热坑头 热炕头
热涨冷缩 热胀冷缩
焚膏既晷 焚膏继晷
煤汽机 煤气机
煤碳 煤炭
照像机 照相机
照本宣课 照本宣科
照然若揭 昭然若揭
熙熙嚷嚷 熙熙攘攘
爆乱 暴乱
爆动 暴动
爆发 暴发
爆发户 暴发户
爆躁 暴躁
爱不失手 爱不释手
爱乌及屋 爱屋及乌
爱带 爱戴
物极必返 物极必反
牵强副会 牵强附会
犹柔寡断 优柔寡断
独书己见 独抒己见
独具惠眼 独具慧眼
独劈蹊径 独辟蹊径
独占螯头 独占鳌头
独挡一面 独当一面
独辟溪径 独辟蹊径
猩猩作态 惺惺作态
玩世不公 玩世不恭
玷亲带故 沾亲带故
玷玷自喜 沾沾自喜
珍重其事 郑重其事
珠连璧合 珠联璧合
班驳陆离 斑驳陆离
理令智昏 利令智昏
理曲词穷 理屈词穷
瑕迩闻名 遐迩闻名
璀烂夺目 璀璨夺目
甘之如怡 甘之如饴
甘冒不讳 甘冒不韪
甘败下风 甘拜下风
生灵涂碳 生灵涂炭
申酉戍亥 申酉戌亥
畏崽不前 畏葸不前
留恋忘返 留连忘返
留芳百世 流芳百世
留连忘返 流连忘返
略见一般 略见一斑
番然悔悟 翻然悔悟
疏峻 疏浚
疾贤妒能 嫉贤妒能
病人膏盲 病人膏肓
病入膏盲 病入肓盲
病入膏盲 病入膏肓
痉孪 痉挛
痛心击首 痛心疾首
痛心嫉首 痛心疾首
痴心忘想 痴心妄想
痴心枉想 痴心妄想
痿靡不振 萎靡不振
瘦骨伶丁 瘦骨伶仃
白壁微瑕 白璧微瑕
白头携老 白头偕老
白晰 白皙
白璧微暇 白璧微瑕
百尺杆头 百尺竿头
百废具兴 百废俱兴
百战不贻 百战不殆
百步串杨 百步穿杨
百练成钢 百炼成钢
皎皎者 佼佼者
盅惑人心 蛊惑人心
益于言表 溢于言表
目不交捷 目不交睫
目不瑕接 目不暇接
直上重宵 直上重霄
直抒胸意 直抒胸臆
直接了当 直截了当
直言不晦 直言不讳
直言不违 直言不讳
相形见拙 相形见绌
相矩不远 相距不远
相辅相承 相辅相成
真知卓见 真知灼见
真象大白 真相大白
眼花撩乱 眼花缭乱
眼花暸乱 眼花缭乱
睡眼醒松 睡眼惺松
瞑思苦想 冥思苦想
瞻养父母 赡养父母
知书达礼 知书达理
矫柔造作 矫揉造作
矫糅造作 矫揉造作
短小精干 短小精悍
破斧沉舟 破釜沉舟
破锭百出 破绽百出
碑帖临摩 碑帖临摹
磐竹难书 罄竹难书
磕磕拌拌 磕磕绊绊
磨崖石刻 摩崖石刻
磨肩擦背 摩肩擦背
磬竹难书 罄竹难书
礼上往来 礼尚往来
